评论者,评论内容,评论日期
苏迪要早睡,我不想再猜了 我也不要再期待了,09:26
是哥哥太难忘o,爱我的话你都说 爱我的事你不做,09:26
RaymondLew,坐等私信，在线等,09:26
RAaron,那她们都是咋想的 我非常想知道,09:25
金箍先生,不将就是因为我不愿意去拥抱那些我从未为之心动的灵魂,09:25
这是丹丹,我会给赞我的人私信一句话。,09:25
等一个人面包,听见这首歌 像极了这两天跟男朋友的矛盾 什么都不说 我主动他还想拒绝 不知道该不该坚持下去了,09:25
yu颖洁,若不是你突然闯进我生活 我们怎么会有故事,09:25
白姑娘170603,若不是你突然闯进我的生活，我也就只是孤独而已，可你在突然闯进生活后，突然走了。你……,09:24
alone七叔,开头撕扯声我以为手机废了,09:24
RaymondLew,Sherly写出的旋律真是太好听了，还这么高产，还是00后，太棒了。不过目前歌词主要以爱情为主，曲风以流行为主，后期希望能看到不同风格的尝试,09:23
等一个人面包,绿色循环不下百遍了吧,09:23
Khyoo,你是瘦到风吹就倒是吗,09:23
不是黎耀辉-,昨天的我想等你的晚安，想了又想删掉了你的联系方式，你是个二流货色我依旧喜欢你，看得出你没那么爱我的样子可我依旧爱你。你很清楚怎么来伤害我，若不是你突然闯进我生活，我怎么会把死守的寂寞放任了。感情就到这吧，最后一次我选尊严。,09:23
旧忆亦我,是被爱情,09:22
小鱼仙官ing,明明是人的错，却要怪爱情,09:22
木897txq,真的幸运有人出现，在你离开我之后，他每一分钟都在烦我，让我没有时间去难过,09:22
81CHAN,要想生活过得去，爱情总得带点....?,09:21
柚子的可爱噗桑,我喜欢绿色。,09:21
Z先森的小天使,喜欢倒着读,09:21
初开QaQ,若不是你突然闯进我生活我怎会把死守的寂寞放任了,09:21
gx丶顾先生,不痛苦是假的，,09:20
玲听GG,做你最忠实的舔狗（如果不是真的喜欢谁又愿意当舔狗呢）,09:20
Axxxxxxxxl,因为我最爱的颜色，所以这首歌我必须听,09:20
Hns丶心宇1996,开口脆，果断红心,09:19
酷南诚,在一起后发现没了以前的甜言蜜语，我知道我们这样不会长久,可我放不下,09:19
抬头看见月色,爱我的话你都说 爱我的事你不做,09:18
雁过也无痕耶,我主动去买个绿帽子戴戴,09:18
七悦阿,我从没有爱过你，因为我还爱你。,09:18
孤独的郑女士,我不是不喜欢你了只是不能再等你回消息等到天色微亮了,09:17
眼神ovo,绿色代表着希望却被帽子玷污,09:16
青柠檬171204,是的呢,09:16
小舔豆OvO,不仅是心情变成了绿色，连头顶也变成了绿色-,09:16
Melofour,我想我以后都会把自己保护的好好的，不再胡乱让别人进入我的生活,09:16
章鱼哥快跑,他能背得动你吗,09:15
不是谁的甜心宝贝儿了,都要,09:15
丑不拉几东,L LOVE YOU FAN BO BO,09:15
你的黎儿,良人许久未嫁 旧人回首莫问 一切命中注定,09:15
信诱180510,在一起多久啦啊,09:14
东单第一控卫,绿得你发慌,09:14
青柠凌晗,这里是我的心奇迹般万物生长后来你来这里走一遭这里荒芜寸草不生。,09:14
东单第一控卫,绿的可怕,09:13
北忆莀,有、东西,09:13
FeelingGood11,网易也八级了  还是老样子,09:12
